Customer ID,Age,Gender,Annual Income,Spending Score,Potensial,Cluster_OPTICS
d410ea53-6661-42a9-ad3a-f554b05fd2a7,30,Male,151,89,No,-1
1770b26f-493f-46b6-837f-4237fb5a314e,58,Female,185,95,No,-1
64139426-2226-4cd6-bf09-91bce4b4db5e,24,Male,154,76,No,-1
7e211337-e92f-4140-8231-5c9ac7a2aa12,42,Male,158,40,No,-1
30661d57-eeb5-4886-970a-9c7d0f260ad8,27,Female,164,37,No,-1
43417ade-6b17-431e-ae76-d8ed26aa46ac,24,Male,70,17,Yes,-1
86f73b1a-6a91-4d7e-ad21-0aefcf6111cc,83,Male,48,34,No,-1
4be5f5b0-83f6-4bd2-9056-18a8d5414066,63,Female,89,80,No,-1
eb0e4ebc-fcc1-424f-b083-81987583ecc6,25,Male,88,17,No,-1
caa4ad5a-51b2-4af1-91cb-e2802f620239,32,Female,160,96,No,-1
0c9d0e0d-a601-488c-9f3f-f036f2bdb536,51,Female,135,87,No,-1
dc35a079-c3db-44f4-8612-d0af9daea414,64,Female,33,81,Yes,-1
b43f995c-c9ab-4c58-8f71-949de233ac71,19,Male,199,82,No,-1
8bbbdbbe-7f8a-4c9c-afed-f6969f49e9ac,65,Male,87,3,No,-1
baa61fc0-4a1f-4210-916b-669d1ec44dbd,26,Male,46,12,No,-1
6d6d557d-41c3-4992-9ef3-f7d113c78649,70,Male,164,36,No,-1
dd6223b5-5aae-468b-b936-618b513d4e70,24,Male,109,6,No,-1
9c702610-d6ce-48fe-9857-9e295e161ceb,39,Female,48,36,No,-1
65348b4f-9170-4edc-b035-cc484416face,19,Female,192,57,No,-1
c2fd4929-fc3e-423a-8dd9-1fb239ef4de6,79,Male,110,7,No,-1
eb6d1dfc-5b3a-4ade-8521-71db4659ad13,61,Female,38,15,Yes,-1
896aef6f-4dc1-4b4a-8805-68ced6971458,73,Female,171,55,No,-1
5963ff82-b2de-453f-bffe-4fed059e18ae,58,Male,81,23,No,-1
767f9ffd-7211-4045-a1d0-f700220928dc,35,Female,71,52,No,-1
ace9492b-bf39-47eb-8f28-6f85b9cc8973,79,Male,164,96,No,-1
cfe0eb40-4892-47fd-ac84-29dbd15f7bd4,57,Female,106,7,No,-1
c5e56dd8-5a20-4bd9-bbc0-97c380553084,76,Male,189,87,No,-1
96892d38-cadf-4409-83d8-1b7a3b37b05a,40,Male,64,62,No,-1
daf07560-6a2e-47af-9c4b-66a63b93ac34,84,Female,36,5,No,-1
ea4a4765-11a6-433e-8016-110bc0bc5ed5,21,Female,118,43,Yes,-1
d5e8bfcc-51e1-44b2-a59d-9174d10efb97,55,Male,77,86,No,-1
f67d66e3-9403-4d69-aee7-4a75c2a92e4d,28,Male,150,15,No,-1
7c3297d0-408b-4e5e-9c4c-abc9816af35a,67,Female,129,80,Yes,-1
a6fac89e-e7a4-482d-9bb6-d32cd2abc346,26,Female,81,29,No,-1
10a2a14c-cebf-410d-81dc-c333101b5e6e,39,Female,45,12,No,-1
68969a5d-975c-4a8a-a357-1ce87ab24459,58,Female,85,16,No,-1
92390e01-1df1-4643-b044-546283ae7773,46,Male,88,3,No,-1
38cb6a10-0af1-4505-b3df-0f8ff3a4e4d3,36,Male,64,23,No,-1
acb1f373-6d7c-46d8-8d72-7e5bf1ee9921,62,Male,23,39,No,-1
9a359e4f-973c-4f8a-91dd-eb930fddedc8,36,Male,126,35,No,-1
0a9ca7d8-91f4-4189-a959-e8d5fde13881,48,Female,171,54,No,-1
3df8f77f-b527-4f3b-a2cf-b163ff5965d9,50,Female,101,32,No,-1
accc810b-e7e1-44dc-80bd-98e82bef02d1,48,Female,46,95,No,-1
cb05e681-1286-4f97-8e7d-2c9b67778936,49,Female,190,2,No,-1
4d4ce6bb-da34-4f9c-8f1b-4c05bfe5fcaf,21,Male,56,34,No,-1
e426ab28-977d-4660-95ab-2b387d478cc0,83,Female,174,53,No,-1
7d14cebc-4aed-430e-ae8a-6415fde6e4e6,39,Female,146,81,No,-1
2260c459-3b7c-443c-a31d-088405b7f09c,55,Female,127,31,No,-1
52c8dde3-1956-411a-a010-c879dadab6fb,60,Male,99,27,No,-1
3a626479-8b72-4500-a12d-97bb7d76e0e6,33,Male,68,27,No,-1
50bbe6c3-4d3a-49ae-a529-4b94492fbe8b,72,Female,66,53,Yes,-1
767bc943-ceae-4dd2-bad9-3fd9c89d7db0,72,Female,36,72,No,-1
72292647-1690-41d9-a387-4b21980006fc,68,Male,168,24,No,-1
af160348-4b39-4b4e-984c-8c078e995f5d,81,Female,111,34,No,-1
9e5e3cf5-07c0-435d-b0f3-fbe03cf91807,64,Female,120,20,Yes,-1
385017d0-a567-45ce-8528-28c8b8804112,30,Female,99,4,No,-1
835b35a2-e838-401a-86fe-85c3c181bbb6,65,Male,97,67,No,-1
f4021ca8-b350-4d8b-9293-b2cf386bc0cd,61,Male,167,93,No,-1
f620a5e6-ee46-4404-9d96-603bbd1fc6e6,68,Male,114,42,Yes,-1
0ced3471-db47-4b19-9723-e8333b091f98,31,Female,76,65,No,-1
716588b1-f862-4c02-a2cf-115cd43f654c,21,Female,175,33,No,-1
33577556-d045-41a0-9565-7f0f37a39727,65,Male,81,10,No,-1
d41eea9a-569d-42fb-94b1-d4551204c936,21,Male,172,80,No,-1
90b18bf2-2413-4212-8934-e67ffc233192,22,Female,106,74,No,-1
101fd379-ff5c-4ec0-8cba-f8a9fc0f42de,71,Male,149,13,No,-1
5ddc5df7-2656-4cc8-a95e-a0618d7cb8e6,27,Female,40,77,Yes,-1
36fd3a7f-6226-4d3b-baf5-e39833d9782b,53,Male,150,32,No,-1
f17d239d-6a67-4b77-9fd3-5377ea88c142,49,Female,194,43,No,-1
958eaa2c-0c0b-46fd-a085-b29ce9d5d8e6,56,Female,55,18,No,-1
83c5dafc-dd2f-4622-9748-23aefb000a38,84,Male,188,44,No,-1
26852b46-dbfa-46f9-8d06-1b568551868e,27,Male,179,97,No,-1
af9762ae-ed8e-4aa0-b32c-922d500b4cf1,53,Female,156,35,No,-1
2cb233a0-5916-49e0-800d-01869340347d,65,Male,156,49,No,-1
2bcc1223-2182-4117-ba07-1e3aa9d9b4bd,22,Male,158,83,No,-1
6abe4dbc-1b70-4a8f-b0b1-7d1bff27fc65,23,Female,115,25,Yes,-1
0947cfd7-72d1-456a-8524-947bf653fa57,18,Female,96,64,No,-1
90f1ac1f-07e1-4817-bfde-7e5f23f3e17e,38,Female,182,68,No,-1
ea1cdcc7-425d-4679-83b5-25b8332b5e6a,54,Male,47,42,No,-1
a04d4663-eb9d-4fae-bab1-2549c7e02be9,88,Female,168,51,No,-1
ee835638-95d5-4dd0-a912-227ec001ef06,24,Female,185,95,No,-1
075acc31-0041-4ea2-8917-13a924da66e7,70,Male,160,34,No,-1
2b971aba-879b-431a-8c60-df636ad45731,74,Male,191,65,No,-1
333c0b32-e155-4d2a-abc5-041ec4d25a9c,22,Female,138,20,No,-1
3874580e-e7bd-4e60-bb68-c5110a04bd8c,78,Male,95,75,No,-1
9dfe38e0-581d-458f-bbd3-7b2d98865728,44,Female,84,1,No,-1
dd8ea81b-09a8-434f-a9cb-b0c4baf6f248,38,Male,70,24,Yes,-1
5f64caae-cb02-41a9-a648-273e0ed6d7fd,88,Male,189,50,No,-1
1ecc4ca8-45f0-459e-a911-dae3227d2b0f,33,Female,178,29,No,-1
