Customer ID,Age,Gender,Annual Income,Spending Score,Age Group,Cluster
3d83a678-36cb-4cd2-8768-da1634cd1fb3,77,Female,95,92,old,20
113e23b5-5cae-4357-8b9d-776c81842ae6,60,Female,92,89,old,20
fab2c9b7-0354-4f3b-8939-7f9effe104ba,72,Male,97,89,old,20
c5b74aeb-95e5-49e9-bb9b-0177b192abda,76,Female,99,84,old,20
47e1e029-fd78-4a4b-8811-13553301b06c,82,Male,94,88,old,20
5f78f80e-5709-495a-8268-a37627416505,83,Male,101,91,old,20
ba38a305-2153-4cbd-afb7-1630533cf084,68,Female,99,89,old,20
5d7813ce-44d1-4e8f-a3b8-4eda8f2f4489,66,Female,86,88,old,20
913436ea-aab2-4801-994f-8125865c32f2,76,Male,99,88,old,20
e3bf3503-f825-4e51-96c9-ed6e29788e06,61,Male,105,88,old,20
1a70a60a-766b-42a0-87af-082d1b6fd8c8,62,Female,93,91,old,20
d9833e92-a2ce-4444-a1b9-74b216e2c101,68,Female,94,91,old,20
93cdec47-9bce-485d-8f84-ec8e083efcc5,90,Male,90,91,old,20
c92f6397-31ed-43b3-b625-9d86f2b09659,82,Female,104,92,old,20
406049b0-7d53-4159-b70e-bd36b37d72ed,71,Female,98,93,old,20
af4b080c-2ce2-4dce-aea8-f314923f63bd,74,Female,97,89,old,20
b39c8474-794a-49ef-8b3b-ba32751d93ca,81,Male,93,88,old,20
cd0408f9-3355-4e90-a8be-da1b18fa0462,83,Female,98,84,old,20
3697ed50-8d2f-405c-96d2-9758eb3cf418,77,Male,94,91,old,20
63eb45fa-8a11-42c8-a85e-d871ea846bd1,89,Male,103,84,old,20
c2f6b982-3654-4921-857d-3d00d9100455,60,Male,102,85,old,20
5782bcd5-9072-4612-927b-e828a5ff1803,69,Male,102,89,old,20
bac0c387-374a-4222-9082-a38dacfb9f92,83,Female,92,91,old,20
446f244f-2cf9-45ff-84d7-3763d15801c8,85,Male,100,92,old,20
e801377a-69d1-405c-b8bc-afe0f4318a1f,79,Male,101,93,old,20
af2ad1f4-9f5f-476b-8ce6-4fbd467b1b66,90,Male,100,88,old,20
3a963bb1-458f-4126-aee6-d87a34f06dc3,67,Female,89,87,old,20
0a72cf2a-5764-45f6-a8a0-3359b9c4b82f,76,Female,95,87,old,20
300b91db-e27d-42a7-ab98-f204cae4a63b,80,Male,92,93,old,20
23ff64b1-ec7f-4a85-8557-1a13eff95e14,82,Female,100,86,old,20
b6e218d0-844f-478c-86b7-096c7ac8ae67,60,Male,92,88,old,20
b2a11467-fde9-4c81-bff0-f7fdcf340c6e,67,Female,102,87,old,20
542f9515-4ae2-4756-951f-4ef2e60027a1,80,Male,99,89,old,20
632f72a1-c438-4a64-acae-543c0e012811,74,Female,103,85,old,20
25b52e30-5f52-4c35-8e33-0511889f3242,66,Female,92,95,old,20
838d5b64-3ab5-4c5c-9c3a-b3a7a5a9a5c6,89,Male,99,85,old,20
d1ba69e4-1c2e-4c64-9b82-458114fda0bd,60,Male,94,87,old,20
36ea607b-cf64-4023-9946-b7ea1778a5b8,85,Male,88,88,old,20
68cf1753-e592-4aa5-b68f-a86b8fd42841,66,Female,92,95,old,20
69006ce3-cf57-45b0-b268-52ec1fdffa57,81,Male,97,91,old,20
96207da1-581d-4ddf-b786-6a0c83a75a97,80,Female,104,86,old,20
b5121a97-8805-4b68-8153-b46fcf4da7ec,82,Male,102,84,old,20
bf5eb941-a505-48a8-aa08-aa1c57fddfb4,68,Male,102,90,old,20
3811d944-2117-421c-a9f8-e181bc6dfa73,85,Male,97,88,old,20
b5da1148-af4b-4fd9-ab7c-138d54bce465,63,Male,87,88,old,20
afabf8b7-caea-4959-8a6f-48eec052afaf,60,Female,101,91,old,20
8be84a3b-a470-4e57-a33f-cefe825c91b2,76,Male,87,92,old,20
d5b6a5bd-e2f3-4871-8e4a-cda0a9808360,70,Female,99,88,old,20
fa5ddfa1-7b36-4b33-8f54-c9f3fe057fb6,67,Female,98,92,old,20
