Customer ID,Age,Gender,Annual Income,Spending Score,Age Group,Cluster
16226691-d6ba-4b9e-b192-e96299023f4e,50,Male,141,83,adult,7
a5ad4f09-3d73-4f6a-8613-7bc910a2b09c,31,Male,145,81,adult,7
5284802a-97a7-4ad2-a565-5f0f51f3653e,44,Male,163,79,adult,7
05bd890e-7223-4090-bcc5-9629d69ac5f0,47,Male,161,77,adult,7
a2cece43-e14c-4731-b863-6ef0ef6bcc88,38,Male,150,77,adult,7
776864a1-42f8-4d6f-8da4-eab5c427740f,33,Male,159,82,adult,7
f96e1051-3141-45aa-a865-321614e11dab,34,Male,162,81,adult,7
6ffb4c40-5db4-4b98-af05-6348942a2f10,48,Male,138,85,adult,7
c95f13ab-a024-4e4c-91f3-d0770eb397e1,58,Male,141,84,adult,7
8434c0f7-e5eb-4992-8c65-347c7e086171,50,Male,156,82,adult,7
0d8b70bd-f84b-41cc-aad1-61548a565d26,39,Male,147,83,adult,7
e72b38ac-1d61-46ef-8f2f-fc10d0b3356c,36,Male,148,82,adult,7
c766e3d4-f0e2-4408-a7e9-ec765922c889,39,Male,140,84,adult,7
f8280db8-3041-43f5-82dd-a2c173e0faf6,37,Male,152,77,adult,7
1c28970c-2faa-4fd7-8adb-cae0ad47052b,47,Male,132,84,adult,7
d436dc10-d11c-41b2-a622-0cfd92420ad4,36,Male,149,83,adult,7
971f3bbb-5227-4d54-82a0-605c243ad01c,32,Male,133,84,adult,7
880c5332-f42c-4ac0-ac79-4f24cddc739f,37,Male,146,83,adult,7
702fbc03-cf68-46f4-a60b-d17909703e96,42,Male,150,84,adult,7
f1c01d62-f81b-4b81-88c6-1401c96bf18f,57,Male,157,79,adult,7
4c3d2ec5-9d0d-412a-8f0f-4ef9e214d9ee,41,Male,157,81,adult,7
0e537782-5ca2-4a2d-a977-41df796574c8,54,Male,142,79,adult,7
73fb635b-0860-4a8b-a7c3-74c1770b4113,47,Male,137,85,adult,7
5b03d26b-cb1e-4d76-a395-56bbf4081dee,43,Male,156,79,adult,7
9d47ff63-5357-4abe-a409-f562df31296d,56,Male,144,80,adult,7
f60abe2b-7de5-429e-9825-ee40c7df026e,39,Male,131,87,adult,7
5dc2e89d-0dbf-4180-9359-efe5917d686e,48,Male,154,80,adult,7
7d6921e0-add6-4dfc-a1d6-5539c9cf605d,32,Male,162,82,adult,7
01a4ca7c-404b-4a80-a6b4-4443f2f6b94a,57,Male,140,82,adult,7
930a5502-8fd8-467e-9005-a853ba9416ce,58,Male,152,79,adult,7
e274d07e-1e78-446d-895c-71de8f846a9e,53,Male,156,79,adult,7
6c978c12-d76e-43cb-9c95-b53f735c6614,30,Male,158,79,adult,7
f1a9038d-cf5f-4c96-a98d-6c50f7c174a6,49,Male,151,82,adult,7
53a4fae3-9d68-415e-9802-fe2e7ac75b58,36,Male,148,84,adult,7
6b8a5024-af93-4e7b-bfef-7a8ac54db243,43,Male,149,79,adult,7
9e5cdadf-9f1e-4868-ae62-d075adb66132,59,Male,154,80,adult,7
ac6ce9c4-1361-45c8-9d95-098fce5e97c1,59,Male,135,86,adult,7
15d0ee9d-9a9f-4260-b980-c06134e7fa0b,56,Male,155,84,adult,7
b67fd14b-f60e-4e42-9d46-7927471895c2,31,Male,144,81,adult,7
063a5dad-5563-4e69-afa0-1f191d2c021c,46,Male,141,85,adult,7
070cc280-4742-4a2e-8bda-9d2ee56492b8,31,Male,137,84,adult,7
c0a43c31-9231-4e61-8da9-323c22bc691a,48,Male,159,80,adult,7
de61bdcb-9004-4bd3-9f22-17942a292085,55,Male,138,84,adult,7
3bb81fda-d605-4e82-9b5f-eb2bac02dc0d,41,Male,147,80,adult,7
85d97cab-e09c-4b1e-914c-2dde2fa9c849,44,Male,141,85,adult,7
d378154c-bfaa-48e6-a58d-47afecf46846,33,Male,135,87,adult,7
b40bd3ce-b506-4451-be56-2522ab07d629,31,Male,132,88,adult,7
c03cc535-f424-4749-a59f-38a001d2c497,49,Male,149,85,adult,7
2df2c359-9db4-4d8c-aa98-f4de2d9da7b7,41,Male,141,82,adult,7
03bd0f2e-1e22-4651-9318-098ea412a67d,46,Male,152,77,adult,7
ecd43bdd-2b30-4473-879b-56b32cc6dac7,31,Male,153,82,adult,7
8b587212-7f80-4824-ad4a-eedd268f2298,30,Male,136,84,adult,7
535f7c0b-9b56-4618-bce4-8fda23e82738,36,Male,153,86,adult,7
